time,seconds_elapsed,z,y,x
1714824532372390400,27.72339038085937,3.3829467400461435,-0.6397748442225157,-0.888610050445795
1714824532382442500,27.7334423828125,3.0638439655065537,-0.5563173202697187,-0.6866169671572745
1714824532392493600,27.74349365234375,2.626503518599272,-0.449691942425631,-0.6107486562244594
1714824532402544400,27.75354443359375,2.246490056023001,-0.3428799559682607,-0.6581272241234779
1714824532412596500,27.76359643554688,1.968669139942527,-0.2445379474207758,-0.7007337553150952
1714824532422647600,27.7736474609375,1.9232734164237972,-0.1489196373492945,-0.7359381935566663
1714824532432698400,27.783698486328124,1.9974539204001425,-0.1711627867442555,-0.7322235569477081
1714824532442750500,27.79375048828125,1.948547558411956,-0.1654068718323484,-0.721074678684771
1714824532452801500,27.803801513671875,1.7548691528737543,-0.1623342594539746,-0.8004840232253074
1714824532462853400,27.813853271484376,1.3530775737315417,-0.1856114189386367,-0.9416799618542194
1714824532472904400,27.823904541015622,1.0321154350608586,-0.2737568815119564,-1.1156311920069155
1714824532482955500,27.83395556640625,0.8371949205070733,-0.3305229440245777,-1.2079695762254297
1714824532493007400,27.84400732421875,0.5258879144102334,-0.2889059901258908,-1.1960425531968473
1714824532503058400,27.85405834960937,0.1653717639863491,-0.2180344828333705,-1.1224643990278242
1714824532513109500,27.864109619140624,-0.1895546036064624,-0.1666859153248369,-1.059734825000912
1714824532523161300,27.87416137695313,-0.5130260947495698,-0.0592807761467527,-0.9894884456031025
1714824532533212400,27.88421240234375,-0.8180711178421973,0.1117012746025808,-0.9332239759370684
1714824532543264500,27.89426440429688,-1.1327017154037953,0.4824908904280513,-0.689392861611396
1714824532553315300,27.9043154296875,-1.5184446615427731,0.8211175728660076,-0.2732750893443822
1714824532563366400,27.914366455078124,-2.0181255370289084,1.1175722430720925,0.1624808648504316
1714824532573418500,27.92441845703125,-2.5269091719031334,1.3036321364305912,0.6817367939002812
1714824532583469300,27.93446923828125,-2.953775571069121,1.3076086388461292,1.0281187666401266
1714824532593520400,27.94452026367188,-3.1185604750782248,1.235976504178345,1.177073502702266
1714824532603572500,27.954572509765622,-2.97951499248147,1.0943068105578422,1.2536921936109662
1714824532613623300,27.964623291015624,-2.642086287656426,0.9101131494626402,1.3390937643036245
1714824532623674400,27.97467431640625,-2.273177571940422,0.941926922352612,1.5527701249927282
1714824532633726500,27.9847265625,-2.3261650657624005,1.140901242341846,1.9076960541941224
1714824532643777300,27.99477734375,-2.894668133062124,1.5281687676995992,2.144805312918872
1714824532653829400,28.00482934570313,-3.763350663244724,1.9974748170576988,2.0471685300312936
1714824532663880400,28.01488037109375,-4.5553860070765015,2.415232027094811,1.8090356273472308
1714824532673931300,28.02493115234375,-5.220236986497044,2.8016017268300053,1.7158483712144197
1714824532683983400,28.0349833984375,-5.583308082100749,3.148202164626121,1.4892280655391514
1714824532694034400,28.045034423828124,-5.639640794697404,3.1891189891651277,1.1005505272530018
1714824532704085200,28.055085205078125,-5.012116214108467,3.081468761785328,0.9152429135665296
1714824532714137300,28.065137451171875,-3.8467625214248895,2.868521299892664,1.1161436715736983
1714824532724188400,28.0751884765625,-2.5178894146233795,2.569548290190101,1.5618638242915273
1714824532734240300,28.085240234375,-1.3594243124097585,2.268126279900223,1.8817115719795223
1714824532744291300,28.095291259765624,-0.5475286683320999,1.925033557964116,2.086032367563248
1714824532754342400,28.10534228515625,0.1446732593506574,1.5963400943890214,2.2306734782099724
1714824532764394500,28.11539453125,0.5875993974357843,1.250951516600698,2.182325919148326
1714824532774445300,28.1254453125,0.8553852417141199,0.8415682402204722,1.952649002381414
1714824532784496400,28.135496337890626,1.042694696742296,0.4320934861645102,1.664155739508569
1714824532794548500,28.14554858398437,1.330987322476506,0.0653331075888127,1.433515092276037
1714824532804599600,28.155599609375,1.6796680736780163,-0.2429791736714542,1.2882869755215942
1714824532814651400,28.1656513671875,2.125502208164334,-0.4963344876676797,1.2443044798016547
1714824532824702500,28.175702392578124,2.553307349485159,-0.7406020206492394,1.1683123963586983
1714824532834753500,28.18575341796875,2.8723674539268016,-0.9841736803211272,1.1436354896113277
1714824532844805400,28.195805419921875,3.2547236802369355,-1.127053188122809,1.2027171355899422
1714824532854856400,28.2058564453125,3.6408839750051496,-1.288392627853155,1.172091914897412
1714824532864907500,28.21590747070313,3.81123294288218,-1.4827594540469349,1.0235502896808086
1714824532874959400,28.22595947265625,3.823763338631392,-1.5566741466939449,0.973636869541928
1714824532885010400,28.236010498046877,3.519801434600353,-1.5924273048594593,0.7271829324319958
1714824532895062500,28.2460625,3.1235633979320525,-1.6365414641350506,0.3772390294268727
