time,seconds_elapsed,z,y,x
1714824959563090700,21.337090576171875,-0.3081125939697027,-0.1554746393501758,0.0420589985777623
1714824959573142500,21.347142578125,-0.4341711692214012,-0.16397124953866,0.0640735177154652
1714824959583193600,21.357193603515626,-0.503883587872982,-0.2169754022344946,0.0725142329982481
1714824959593244700,21.36724462890625,-0.4884498718976974,-0.2028553261410444,0.085765691297315
1714824959603295500,21.37729541015625,-0.4251432286351919,-0.1775805265657603,-0.0314608677990734
1714824959613347600,21.38734765625,-0.335893165820837,-0.1197031418103724,-0.1525156251478008
1714824959623398700,21.397398681640624,-0.2796107221066952,-0.0737695120226591,-0.2153335167789831
1714824959633449500,21.407449462890625,-0.2868073556125164,-0.0404964071698486,-0.1112886386810801
1714824959643500500,21.41750048828125,-0.2778606635689735,-0.0294632642410695,-0.0580428592490963
1714824959653552600,21.427552734375,-0.1713087528198957,-0.0473314408216625,0.0269548981493338
1714824959663603500,21.437603515625,-0.1101543191552162,-0.0809139038845896,0.1613676063789054
1714824959673654500,21.447654541015623,-0.0379512527316808,-0.0874379718910902,0.2044489337417297
1714824959683705900,21.45770581054688,0.0194908824115991,-0.0892826499097049,0.2058690296727232
1714824959693757700,21.4677578125,0.0103039518713951,-0.0997074516817927,0.1816865371124819
1714824959703808800,21.477808837890624,-0.0143143565565347,-0.0488980325512588,0.1131595471194945
1714824959713859800,21.48785986328125,-0.0546112956315279,0.0109090781576931,0.0457070362239144
1714824959723911000,21.497910888671875,-0.1076706856459379,0.0554481848470866,-0.0024035722767002
1714824959733962800,21.507962646484376,-0.1156441487431526,0.0931347952932119,-0.0170751995719969
1714824959744013800,21.518013916015622,-0.1193698912680149,0.0945743265770375,-0.0451037548348307
